dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
4/3/11,110403_132151nya,,3,1,453286,458731,6,Strikeout,S,49,3.06,1.53,-3.75,10.67,FF,8,2,L,0,0,R,gid_2011_04_03_detmlb_nyamlb_1/,Called Strike,199.26,0.637909,1,det,0.076653583,-129.5250918,0.306713342,-3.741097946,9.71285696,-3.75,10.67,-3.244944944,55,5.921833216,10.03934567,-132.3111084,-4.168271533,-6.627999889,24.316,-14.97099963,90.52,0.396316279,2.837257471,0.352,2.783,2202,0
4/3/11,110403_132207nya,,3,2,453286,458731,6,Strikeout,S,50,3.2,1.53,-8.04,9.39,FF,12,0.923,L,1,0,R,gid_2011_04_03_detmlb_nyamlb_1/,Called Strike,220.446,-0.0443114,1,det,0.074922829,-132.3203396,0.302186043,-7.964799313,8.471605508,-8.04,9.39,-3.463466216,55,5.764291249,11.17765507,-135.7567026,-4.700716706,-14.53699981,30.70700075,-16.71699992,92.93,-0.081237006,2.384518079,-0.13,2.328,2417,1
4/3/11,110403_132228nya,,3,3,453286,458731,6,Strikeout,S,51,3.17,1.5,-8.25,11.02,FF,16,0.903,L,2,0,R,gid_2011_04_03_detmlb_nyamlb_1/,Called Strike,216.697,-0.4,1,det,0.074323563,-133.3276661,0.30049684,-8.168569313,10.08758982,-8.25,11.02,-3.598887529,55,5.777305107,10.69180822,-136.9688891,-6.250813719,-15.07699977,32.80700113,-13.56000033,93.77,-0.475794329,2.0572196,-0.525,2.001,2698,2
4/3/11,110403_132306nya,,7,1,453286,116539,7,Groundout,B,55,3.6,1.79,-6.02,10.46,FF,22,0.893,R,0,0,R,gid_2011_04_03_detmlb_nyamlb_1/,Ball,209.809,-1.35028,1,det,0.077051005,-129.0033255,0.306465998,-5.979036687,9.507288159,-6.02,10.46,-3.399346025,55,5.791220469,9.771110092,-131.338867,-6.863510358,-10.60999976,20.26799966,-15.30800047,89.92,-0.222281679,1.535810588,-0.273,1.473,2368,0
4/3/11,110403_132323nya,,7,2,453286,116539,7,Groundout,S,56,3.54,1.67,-8.44,11.96,FF,14,0.923,R,0,1,R,gid_2011_04_03_detmlb_nyamlb_1/,Called Strike,215.086,0.165775,1,det,0.075595435,-131.2162422,0.303982572,-8.356959973,10.99883019,-8.44,11.96,-3.531837838,55,5.767384404,13.77194177,-134.4041748,-4.519092333,-15.07300006,28.22599985,-12.34100047,92.17,0.899970766,2.810685179,0.858,2.76,2855,10
4/3/11,110403_132342nya,,7,3,453286,116539,7,Groundout,S,57,3.46,1.65,-4.51,12.06,FF,13,0.904,R,1,1,R,gid_2011_04_03_detmlb_nyamlb_1/,Called Strike,200.418,-0.286188,1,det,0.074498388,-133.181187,0.299177046,-4.48859223,11.11836888,-4.51,12.06,-3.440697814,55,5.7929976,11.36273196,-136.3187757,-6.035466407,-8.357999908,28.18600084,-11.47599974,93.36,0.51943305,2.348616643,0.481,2.296,2557,11
4/3/11,110403_132400nya,,7,4,453286,116539,7,Groundout,S,58,3.45,1.79,-8.27,11.05,FF,7,2,R,2,1,R,gid_2011_04_03_detmlb_nyamlb_1/,Foul,216.677,0.356627,1,det,0.073493618,-135.01447,0.294995887,-8.184995047,10.14874682,-8.27,11.05,-3.533773397,55,5.691533295,12.22546488,-138.1577616,-4.16011858,-15.67599975,28.62199976,-12.74199953,94.61,0.130819084,2.96341471,0.089,2.916,2779,12
4/3/11,110403_132421nya,,7,5,453286,116539,7,Groundout,B,59,3.52,1.71,-9.92,11.47,FF,24,0.892,R,2,1,R,gid_2011_04_03_detmlb_nyamlb_1/,Ball,220.725,-1.8674,1,det,0.073613338,-134.640891,0.297302427,-9.813270587,10.55361461,-9.92,11.47,-3.404366585,55,5.744607144,17.16617272,-138.2373303,-9.180954888,-18.50399982,32.71299936,-12.27900019,95.18,2.051982554,0.987568725,2.02,0.925,3008,12
4/3/11,110403_132441nya,,7,6,453286,116539,7,Groundout,B,60,3.44,1.59,-8.12,10.83,FF,24,2,R,2,2,R,gid_2011_04_03_detmlb_nyamlb_1/,Ball,216.716,-1.79892,1,det,0.075210282,-131.8690915,0.30266957,-8.038678289,9.893757926,-8.12,10.83,-3.572420341,55,5.62940702,16.29931223,-135.1302235,-8.415256538,-14.62500011,29.02400018,-14.17899981,92.98,1.932672055,0.915704621,1.899,0.851,2649,22
4/3/11,110403_132502nya,,7,7,453286,116539,7,Groundout,X,61,3.45,1.79,-7.13,9.31,FF,18,2,R,2,3,R,gid_2011_04_03_detmlb_nyamlb_1/,"In play, out(s)",217.323,-0.472289,1,det,0.074580658,-133.0120433,0.299775885,-7.068287615,8.405487266,-7.13,9.31,-3.437837954,55,5.611859484,11.74307358,-136.2123476,-4.6836491,-13.10900031,28.71999933,-16.59000006,93.27,0.282671422,2.283328421,0.24,2.228,2321,32
